role,student_id,full_name,email,program_code,temp_password,password_hash_sha256
student,2025001,Ali Bin Abu,2025001@student.uitm.edu.my,CS248,PRAK-CS248-01,dfc376f71d3530c2059331de730a7d28ba4fa2a39bbe5e1f27bf39519f24a4ac
student,2025002,Siti Aisyah,2025002@student.uitm.edu.my,CS249,PRAK-CS249-02,607121595d9455324a892749c4fac56dea834283bf840634e91b3ea2502720f6
student,2025003,Ahmad Zaki,2025003@student.uitm.edu.my,CS290,PRAK-CS290-03,1e0b361c5cb7831de7a8552bf606a30ba847dea13a18e72e19ff4c081df2ab2c
student,2025004,Nurul Izzah,2025004@student.uitm.edu.my,CS241,PRAK-CS241-04,28e2b95ac4e1db5fb3ccc1c630b634f76ca372bfea1f03fb306d5afa0f0513a5
student,2025005,Daniel Amir,2025005@student.uitm.edu.my,CS248,PRAK-CS248-05,c35e9e2b6284c374eac2d87b1093a14f76287f22d1b2b00e8d001c87392e9c18
student,2025006,Hana Qistina,2025006@student.uitm.edu.my,CS249,PRAK-CS249-06,1404cb9051bca5cceacd47afb056cc32d6d256fb8a4984a881f4d93ccafa6c08
student,2025007,Muhammad Faris,2025007@student.uitm.edu.my,CS290,PRAK-CS290-07,5af0d49656f8f89349d4e4632446614ed84f5ceba56a9a1cd9fc815ae92c651f
student,2025008,Ain Syuhada,2025008@student.uitm.edu.my,CS241,PRAK-CS241-08,08da3631133c203477f82a37ffa9feaf075d708e033b80b3e82e1594e8dc7875
student,2025009,Irfan Hakimi,2025009@student.uitm.edu.my,CS248,PRAK-CS248-09,d5275eb722747f6db639a9a595a6a8a0120dc009c9b946b96b768fed05489ea4
student,2025010,Sofea Zahra,2025010@student.uitm.edu.my,CS249,PRAK-CS249-10,1455861e2cf7058210427a8d8f6f7f127e3dcf77c0cd8f93afe4ca29e89587ce
coordinator,,Penyelaras CS248,coordinator.cs248@uitm.edu.my,CS248,COORD-CS248-2025,5805aa947c1127f8a506a255aa76627b8b94e1a76a74b83a58ea160ef70acb74
coordinator,,Penyelaras CS249,coordinator.cs249@uitm.edu.my,CS249,COORD-CS249-2025,b8de2334e25cc169541ece459b54bd3158a323e2b4f4dc51e496900cfb5e5fe8
coordinator,,Penyelaras CS290,coordinator.cs290@uitm.edu.my,CS290,COORD-CS290-2025,3e5f9a62f8bc968a228c71740f05a38bff7be4e0b1cf818b973e5df63c70bc03
acad_sv,,Penyelia Akademik 01,acadsv01@uitm.edu.my,,ACAD-2025-01,e6d41df64dcd93930989289e82722831e2c86ba508a29937799e9d4309e4438a
acad_sv,,Penyelia Akademik 02,acadsv02@uitm.edu.my,,ACAD-2025-02,8bd61f2b893d4eaa2f2ad3d5bffebdc2c93d81ad927738e06acfd94a12399aba
acad_sv,,Penyelia Akademik 03,acadsv03@uitm.edu.my,,ACAD-2025-03,8b3f4e43e8740e47325a50503ad5baaffabf7dbfd05d3b0ae10f1117378c1cf8
ind_sv,,Penyelia Industri 01,indsv01@industry.example.com,,IND-2025-01,d0befba39e9c55b380a4f1a4a4796645686762357911bcd8fce448c448b6f1dc
ind_sv,,Penyelia Industri 02,indsv02@industry.example.com,,IND-2025-02,4b251d5450e263d100472fabdc056fbfddd277031c620b9c47ffc2a85fc5db50
ind_sv,,Penyelia Industri 03,indsv03@industry.example.com,,IND-2025-03,4506a74c9f37d624d7b8f30c5f9ec7a95e8ed2dbe87e80c7d7425d50ea82b462
